STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_Crime,city,lat,lon,state
ANDHRA PRADESH,adilabad,2001,50,30,16,149,34,175,0,454,,,,
ANDHRA PRADESH,anantapur,2001,23,30,7,118,24,154,0,356,,,,
ANDHRA PRADESH,chittoor,2001,27,34,14,112,83,186,0,456,,,,
ANDHRA PRADESH,kadapa,2001,20,20,17,126,38,57,0,278,,,,
ANDHRA PRADESH,east godavari,2001,23,26,12,109,58,247,0,475,,,,
ANDHRA PRADESH,guntakal rly.,2001,0,0,0,1,0,0,0,1,,,,
ANDHRA PRADESH,guntur,2001,54,51,7,139,129,378,0,758,,,,
ANDHRA PRADESH,hyderabad city,2001,37,39,24,118,27,746,0,991,,,,
ANDHRA PRADESH,karimnagar,2001,56,49,62,414,81,224,0,886,,,,
ANDHRA PRADESH,khammam,2001,47,30,17,180,336,172,0,782,,,,
ANDHRA PRADESH,krishna,2001,37,21,10,208,72,265,0,613,krishna,16.2135466,81.0277844, Andhra Pradesh
ANDHRA PRADESH,kurnool,2001,29,47,13,141,107,92,0,429,kurnool,15.8309251,78.0425373, Andhra Pradesh
ANDHRA PRADESH,mahaboobnagar,2001,59,27,14,176,41,69,0,386,,,,
ANDHRA PRADESH,medak,2001,35,20,26,100,25,192,0,398,,,,
ANDHRA PRADESH,nalgonda,2001,35,19,31,188,59,214,0,546,,,,
ANDHRA PRADESH,nellore,2001,46,80,10,207,228,287,0,858,,,,
ANDHRA PRADESH,nizamabad,2001,21,21,19,55,15,228,0,359,nizamabad,18.3015062,84.0232082, Andhra Pradesh
ANDHRA PRADESH,prakasham,2001,19,12,5,140,100,119,0,395,,,,
ANDHRA PRADESH,ranga reddy,2001,72,83,37,113,55,421,7,788,,,,
ANDHRA PRADESH,secunderabad rly.,2001,0,0,1,0,1,0,0,2,,,,
ANDHRA PRADESH,srikakulam,2001,8,12,6,38,47,108,0,219,,,,
ANDHRA PRADESH,vijayawada,2001,25,48,2,84,122,520,0,801,,,,
ANDHRA PRADESH,vijayawada rly.,2001,1,0,0,1,1,0,0,3,,,,
ANDHRA PRADESH,visakha rural,2001,12,12,3,67,48,99,0,241,,,,
ANDHRA PRADESH,visakhapatnam,2001,13,6,0,33,462,204,0,718,,,,
ANDHRA PRADESH,vizianagaram,2001,8,2,0,40,22,121,0,193,,,,
ANDHRA PRADESH,warangal,2001,53,25,52,241,0,165,0,536,,,,
ANDHRA PRADESH,west godavari,2001,61,21,15,246,56,348,0,747,,,,
ANDHRA PRADESH,total,2001,871,765,420,3544,2271,5791,7,13669,,,,
ARUNACHAL PRADESH,changlang,2001,1,2,0,3,0,0,0,6,,,,
ARUNACHAL PRADESH,dibang valley,2001,2,4,0,4,0,2,0,12,,,,
ARUNACHAL PRADESH,kameng east,2001,2,5,0,5,0,0,0,12,,,,
ARUNACHAL PRADESH,kameng west,2001,0,2,0,0,0,0,0,2,,,,
ARUNACHAL PRADESH,lohit,2001,2,6,0,8,0,0,0,16,,,,
ARUNACHAL PRADESH,papum pare,2001,9,5,0,6,0,3,0,23,,,,
ARUNACHAL PRADESH,siang east,2001,5,7,0,7,0,2,0,21,,,,
ARUNACHAL PRADESH,siang upper,2001,2,5,0,3,0,0,0,10,,,,
ARUNACHAL PRADESH,siang west,2001,4,10,0,25,2,2,0,43,,,,
ARUNACHAL PRADESH,subansiri lower,2001,2,5,0,4,0,0,0,11,,,,
ARUNACHAL PRADESH,subansiri upper,2001,2,1,0,8,0,2,0,13,,,,
ARUNACHAL PRADESH,tawang,2001,1,0,0,5,1,0,0,7,,,,
ARUNACHAL PRADESH,tirap,2001,1,3,0,0,0,0,0,4,,,,
ARUNACHAL PRADESH,total,2001,33,55,0,78,3,11,0,180,,,,
ASSAM,barpeta,2001,28,88,10,29,0,95,0,250,,,,
ASSAM,bongaigaon,2001,20,21,1,22,0,26,0,90,,,,
ASSAM,c.i.d.,2001,0,0,0,0,0,0,0,0,,,,
ASSAM,cachar,2001,45,74,7,80,0,216,0,422,,,,
ASSAM,darrang,2001,48,47,9,56,0,37,0,197,,,,
ASSAM,dhemaji,2001,42,20,0,26,0,0,0,88,,,,
ASSAM,dhubri,2001,43,51,5,49,0,111,0,259,dhubri,26.132275,90.1249962, Assam
ASSAM,dibrugarh,2001,35,37,3,41,0,19,0,135,,,,
ASSAM,g.r.p.,2001,1,0,0,0,0,0,0,1,,,,
ASSAM,goalpara,2001,35,35,1,54,0,64,0,189,goalpara,26.0491877,90.6001859, Assam
ASSAM,golaghat,2001,30,40,0,23,0,26,0,119,,,,
ASSAM,guwahati city,2001,37,64,5,67,0,98,0,271,,,,
ASSAM,hailakandi,2001,24,34,2,27,0,28,0,115,,,,
ASSAM,jorhat,2001,42,28,2,44,0,48,0,164,jorhat,26.7577925,94.2079645, Assam
ASSAM,kamrup,2001,21,65,2,42,0,27,0,157,kamrup,26.1468861,91.2227397, Assam
ASSAM,karbi anglong,2001,5,15,4,5,0,8,0,37,,,,
ASSAM,karimganj,2001,33,8,1,9,0,30,0,81,,,,
ASSAM,kokrajhar,2001,14,12,0,37,0,20,0,83,,,,
ASSAM,lakhimpur,2001,64,62,0,22,0,93,0,241,lakhimpur,27.1763356,94.1992932, Assam
ASSAM,morigaon,2001,23,37,0,6,0,28,0,94,,,,
ASSAM,n.c.hills,2001,2,4,0,2,0,7,0,15,,,,
ASSAM,nagaon,2001,51,109,1,113,4,132,0,410,,,,
ASSAM,nalbari,2001,30,27,3,16,0,15,0,91,nalbari,26.3533632,91.3983662, Assam
ASSAM,r.p.o.,2001,3,0,0,0,0,0,0,3,,,,
ASSAM,sibsagar,2001,47,64,0,28,0,0,0,139,,,,
ASSAM,sonitpur,2001,53,80,1,43,0,99,0,276,sonitpur,26.7677707,92.7014089, Assam
ASSAM,tinsukia,2001,41,48,2,9,0,21,0,121,,,,
ASSAM,total,2001,817,1070,59,850,4,1248,0,4048,,,,
BIHAR,araria,2001,93,13,11,3,0,50,0,170,araria,26.1346459,87.4654062, Bihar
BIHAR,arwal,2001,0,0,7,11,0,14,0,32,,,,
BIHAR,aurangabad,2001,16,4,33,13,2,19,0,87,aurangabad,19.877263,75.3390241, Maharashtra
BIHAR,bagaha,2001,25,6,0,4,0,2,0,37,,,,
BIHAR,banka,2001,34,10,9,0,0,16,0,69,banka,24.8328273,86.8161114, Bihar
BIHAR,begusarai,2001,13,7,21,32,0,21,0,94,,,,
BIHAR,bettiah,2001,20,23,17,23,0,54,8,145,,,,
BIHAR,bhabhua,2001,10,12,8,7,0,22,0,59,,,,
BIHAR,bhagalpur,2001,35,9,20,15,0,52,0,131,,,,
BIHAR,bhojpur,2001,22,13,23,0,4,29,0,91,bhojpur,25.4501182,84.5635193, Bihar
BIHAR,buxar,2001,8,1,15,0,0,0,0,24,buxar,25.5044834,84.1097525, Bihar
BIHAR,darbhanga,2001,19,16,37,40,0,34,0,146,darbhanga,26.08299,86.0324951, Bihar
BIHAR,gaya,2001,25,15,26,27,0,24,0,117,,,,
BIHAR,gopalganj,2001,13,18,22,0,2,155,0,210,,,,
BIHAR,jamalpur rly.,2001,1,0,0,1,0,1,0,3,,,,
BIHAR,jamui,2001,10,1,16,8,0,15,0,50,jamui,24.7562514,86.3011128, Bihar
BIHAR,jehanabad,2001,6,5,25,0,0,4,0,40,jehanabad,25.1529579,85.0065043, Bihar
BIHAR,katihar,2001,51,20,6,6,0,29,0,112,,,,
BIHAR,katihar rly.,2001,0,1,0,2,0,0,0,3,,,,
BIHAR,khagaria,2001,5,6,11,6,0,2,0,30,khagaria,25.4930513,86.6982264, Bihar
BIHAR,kishanganj,2001,22,16,4,2,1,39,0,84,kishanganj,26.2984144,87.9466715, Bihar
BIHAR,lakhisarai,2001,10,7,6,12,0,5,0,40,,,,
BIHAR,madhepura,2001,11,15,6,3,0,10,0,45,madhepura,25.7806118,86.9364753, Bihar
BIHAR,madhubani,2001,13,11,12,41,0,18,0,95,madhubani,26.3503076,86.2296424, Bihar
BIHAR,motihari,2001,44,35,37,3,1,47,0,167,,,,
BIHAR,munger,2001,11,15,8,0,0,39,0,73,,,,
BIHAR,muzaffarpur,2001,73,25,69,81,0,141,6,395,muzaffarpur,26.1482548,85.3316097, Bihar
BIHAR,muzaffarpur rly.,2001,2,1,0,4,0,1,0,8,,,,
BIHAR,nalanda,2001,40,12,47,14,2,54,0,169,,,,
BIHAR,naugachia,2001,7,9,4,0,0,5,0,25,,,,
BIHAR,nawadah,2001,15,1,17,7,0,13,1,54,,,,
BIHAR,patna,2001,27,11,90,47,0,152,39,366,patna,25.6093239,85.1235252, Bihar
BIHAR,patna rly.,2001,1,1,0,9,0,0,0,11,,,,
BIHAR,purnea,2001,39,23,8,5,0,22,0,97,,,,
BIHAR,rohtas,2001,25,18,36,21,0,59,0,159,rohtas,24.9394143,84.0197031, Bihar
BIHAR,saharsa,2001,12,10,7,9,0,12,0,50,,,,
BIHAR,samastipur,2001,19,29,11,17,9,35,29,149,samastipur,25.7747885,85.8672314, Bihar
BIHAR,saran,2001,20,15,67,22,0,101,0,225,,,,
BIHAR,sheikhpura,2001,3,1,9,0,0,32,0,45,sheikhpura,25.1250741,85.8160771, Bihar
BIHAR,sheohar,2001,11,7,3,0,0,2,0,23,sheohar,26.4934234,85.2717561, Bihar
BIHAR,sitamarhi,2001,23,20,13,1,0,21,0,78,,,,
BIHAR,siwan,2001,4,26,32,6,0,10,0,78,,,,
BIHAR,supaul,2001,30,2,7,8,0,18,0,65,supaul,26.2768089,86.7959614, Bihar
BIHAR,vaishali,2001,20,28,59,52,0,179,0,338,vaishali,25.7491703,85.3972164, Bihar
BIHAR,total,2001,888,518,859,562,21,1558,83,4489,,,,
CHHATTISGARH,balrampur,2001,17,1,1,18,0,7,0,44,balrampur,27.4476988,82.3956245, Uttar Pradesh
CHHATTISGARH,bilaspur,2001,69,20,7,180,10,94,0,380,bilaspur,22.1638486,82.1365923, Chhattisgarh
CHHATTISGARH,bizapur,2001,4,0,0,1,0,0,0,5,,,,
CHHATTISGARH,dantewara,2001,19,8,1,18,1,3,0,50,,,,
CHHATTISGARH,dhamtari,2001,22,4,1,41,5,6,0,79,dhamtari,20.5326259,81.7155987, Chattisgarh
CHHATTISGARH,durg,2001,144,42,12,287,38,231,0,754,durg,21.1982964,81.4007922, Chattisgarh
CHHATTISGARH,grp raipur,2001,0,0,0,4,0,1,0,5,,,,
CHHATTISGARH,jagdalpur,2001,59,4,3,49,2,14,0,131,,,,
CHHATTISGARH,janjgir,2001,29,6,9,110,13,116,0,283,janjgir,22.0090841,82.578896, Chattisgarh
CHHATTISGARH,jashpur,2001,36,2,2,41,1,4,0,86,jashpur,22.770251,83.9708013, Chattisgarh
CHHATTISGARH,kanker,2001,42,4,1,36,3,10,0,96,kanker,20.2692747,81.4932111, Chattisgarh
CHHATTISGARH,kawardha,2001,35,0,1,45,4,15,0,100,,,,
CHHATTISGARH,korba,2001,46,13,1,90,7,31,0,188,korba,22.5198217,82.6350029, Chattisgarh
CHHATTISGARH,koriya,2001,34,7,3,102,2,31,0,179,,,,
CHHATTISGARH,mahasamund,2001,43,7,6,69,6,21,0,152,mahasamund,21.1922846,82.4890263, Chattisgarh
CHHATTISGARH,raigarh,2001,53,6,2,104,5,22,0,192,,,,
CHHATTISGARH,raipur,2001,104,28,16,253,42,121,0,564,raipur,21.2380912,81.6336993, Chattisgarh
CHHATTISGARH,rajnandgaon,2001,58,3,3,92,12,51,0,219,rajnandgaon,21.0684425,80.7970779, Chattisgarh
CHHATTISGARH,sarguja,2001,145,16,1,223,10,62,0,457,,,,
CHHATTISGARH,total,2001,959,171,70,1763,161,840,0,3964,,,,
GOA,north goa,2001,4,1,2,12,2,6,0,27,,,,
GOA,south goa,2001,8,5,0,5,5,5,0,28,,,,
GOA,total,2001,12,6,2,17,7,11,0,55,,,,
GUJARAT,ahmedabad commr.,2001,39,117,7,54,27,530,0,774,,,,
GUJARAT,ahmedabad rural,2001,5,27,0,26,0,84,0,142,,,,
GUJARAT,ahwa-dang,2001,1,1,0,2,0,2,0,6,,,,
GUJARAT,amreli,2001,2,34,2,21,0,94,0,153,amreli,21.4176122,71.249609, Gujarat
GUJARAT,anand,2001,3,28,0,27,3,210,0,271,anand,22.5586555,72.9627227, Gujarat
GUJARAT,bharuch,2001,4,34,0,19,0,56,0,113,bharuch,21.7080427,72.9956936, Gujarat
